symbol,epic,type,expiry,marginFactor,minDealSize
"ARAY","ARAY","-","-","",""
"ARBAU","ARBAU","-","-","",""
"ARBB","ARBB","-","-","",""
"ARBGB","ARBGB","-","-","",""
"ARBUSD","ARBUSD","-","-","",""
"ARDS","ARDS","-","-","",""
"ARE","ARE","-","-","",""
"AREC","AREC","-","-","",""
"ARECGB","ARECGB","-","-","",""
"ARGAU","ARGAU","-","-","",""
"ARGUSD","ARGUSD","-","-","",""
"ARKG","ARKG","-","-","",""
"ARKK","ARKK","-","-","",""
"ARKMUSD","ARKMUSD","-","-","",""
"ARM","ARM","-","-","",""
"ARMX","ARMX","-","-","",""
"ARNR","ARNR","-","-","",""
"AROW","AROW","-","-","",""
"ARPAUSD","ARPAUSD","-","-","",""
"ARQQ","ARQQ","-","-","",""
"ARTL","ARTL","-","-","",""
"ARTY","ARTY","-","-","",""
"ARW","ARW","-","-","",""
"ARX","ARX","-","-","",""
"ARYN","ARYN","-","-","",""
"ASAIGB","ASAIGB","-","-","",""
"ASAN","ASAN","-","-","",""
"ASBAU","ASBAU","-","-","",""
"ASC","ASC","-","-","",""
"ASCGB","ASCGB","-","-","",""
"ASH","ASH","-","-","",""
"ASHM","ASHM","-","-","",""
"ASL","ASL","-","-","",""
"ASMAU","ASMAU","-","-","",""
"ASMB","ASMB","-","-","",""
"ASMI","ASMI","-","-","",""
"ASML","ASML","-","-","",""
"ASMLNL","ASMLNL","-","-","",""
"ASO","ASO","-","-","",""
"ASPI","ASPI","-","-","",""
"ASRNL","ASRNL","-","-","",""
"ASRRUSD","ASRRUSD","-","-","",""
"ASRT","ASRT","-","-","",""
"ASRUSD","ASRUSD","-","-","",""
"ASSAB","ASSAB","-","-","",""
"ASTC","ASTC","-","-","",""
"ASTRUSD","ASTRUSD","-","-","",""
"ASTS","ASTS","-","-","",""
"ASXAU","ASXAU","-","-","",""
"AT1","AT1","-","-","",""
"ATAI","ATAI","-","-","",""
"ATAS","ATAS","-","-","",""
"ATCOA","ATCOA","-","-","",""
"ATCOB","ATCOB","-","-","",""
"ATEA","ATEA","-","-","",""
"ATER","ATER","-","-","",""
"ATEX","ATEX","-","-","",""
"ATG","ATG","-","-","",""
"ATGAU","ATGAU","-","-","",""
"ATHUSD","ATHUSD","-","-","",""
"ATLASUSD","ATLASUSD","-","-","",""
"ATM","ATM","-","-","",""
"ATMUSD","ATMUSD","-","-","",""
"ATNI","ATNI","-","-","",""
"ATOMUSD","ATOMUSD","-","-","",""
"ATOP","ATOP","-","-","",""
"ATR","ATR","-","-","",""
"ATRLJB","ATRLJB","-","-","",""
"ATT","ATT","-","-","",""
"ATT.L","ATT.L","-","-","",""
"ATUS","ATUS","-","-","",""
"ATYM","ATYM","-","-","",""
"AU200","AU200","-","-","",""
"AUBAU","AUBAU","-","-","",""
"AUCTIONUSD","AUCTIONUSD","-","-","",""
"AUDCAD","AUDCAD","-","-","",""
"AUDCHF","AUDCHF","-","-","",""
"AUDCNH","AUDCNH","-","-","",""
"AUDHKD","AUDHKD","-","-","",""
"AUDIOUSD","AUDIOUSD","-","-","",""
"AUDJPY","AUDJPY","-","-","",""
"AUDMXN","AUDMXN","-","-","",""
"AUDNOK","AUDNOK","-","-","",""
"AUDNZD","AUDNZD","-","-","",""
"AUDPLN","AUDPLN","-","-","",""
"AUDSGD","AUDSGD","-","-","",""
"AUDTRY","AUDTRY","-","-","",""
"AUDUSD","AUDUSD","-","-","",""
"AUDUSDU2025","AUDUSDU2025","-","-","",""
"AUDUSDZ2025","AUDUSDZ2025","-","-","",""
"AUDZAR","AUDZAR","-","-","",""
"AUIAU","AUIAU","-","-","",""
"AUR","AUR","-","-","",""
"AUSD","AUSD","-","-","",""
"AUSS","AUSS","-","-","",""
"AUTL","AUTL","-","-","",""
"AUTO","AUTO","-","-","",""
"AUTR","AUTR","-","-","",""
"AVAAIUSD","AVAAIUSD","-","-","",""
"AVA","AVA","-","-","",""
"AVAP","AVAP","-","-","",""
"AV.","AV.","-","-","",""
"AVAXUSD","AVAXUSD","-","-","",""
"AVB","AVB","-","-","",""
"AVG","AVG","-","-","",""
"AVGO","AVGO","-","-","",""
"AVO","AVO","-","-","",""
"AVOL","AVOL","-","-","",""
"AVT","AVT","-","-","",""
"AVY","AVY","-","-","",""
"AWI","AWI","-","-","",""
"AWK","AWK","-","-","",""
"AWR","AWR","-","-","",""
"AWXSG","AWXSG","-","-","",""
"AX1AU","AX1AU","-","-","",""
"AXB","AXB","-","-","",""
"AXFO","AXFO","-","-","",""
"AXL","AXL","-","-","",""
"AXP","AXP","-","-","",""
"AXS","AXS","-","-","",""
"AXSUSD","AXSUSD","-","-","",""
"AXTI","AXTI","-","-","",""
"AYA","AYA","-","-","",""
"AYI","AYI","-","-","",""
"AYTU","AYTU","-","-","",""
"AYV","AYV","-","-","",""
"AZA","AZA","-","-","",""
"AZJAU","AZJAU","-","-","",""
"AZM","AZM","-","-","",""
"AZN","AZN","-","-","",""
"AZNL","AZNL","-","-","",""
"AZNS","AZNS","-","-","",""
"AZO","AZO","-","-","",""
"AZZ","AZZ","-","-","",""
"B2I","B2I","-","-","",""
"B3USD","B3USD","-","-","",""
"B61SG","B61SG","-","-","",""
"BA","BA","-","-","",""
"BA.","BA.","-","-","",""
"BABA","BABA","-","-","",""
"BABL","BABL","-","-","",""
"BABR","BABR","-","-","",""
"BABYDOGEUSD","BABYDOGEUSD","-","-","",""
"BAC","BAC","-","-","",""
"BADGERUSD","BADGERUSD","-","-","",""
"BAER","BAER","-","-","",""
"BAG","BAG","-","-","",""
"BAH","BAH","-","-","",""
"BAKKA","BAKKA","-","-","",""
"BAKK","BAKK","-","-","",""
"BALDB","BALDB","-","-","",""
"BALF","BALF","-","-","",""
"BALN","BALN","-","-","",""
"BALUSD","BALUSD","-","-","",""
"BAM","BAM","-","-","",""
"BAMI","BAMI","-","-","",""
"BAMN","BAMN","-","-","",""
"BANANAUSD","BANANAUSD","-","-","",""
"BANDUSD","BANDUSD","-","-","",""
"BAPAU","BAPAU","-","-","",""
"BAP","BAP","-","-","",""
"BARC","BARC","-","-","",""
"BARK","BARK","-","-","",""
"BARUSD","BARUSD","-","-","",""
"BASD","BASD","-","-","",""
"BATS","BATS","-","-","",""
"BATUSD","BATUSD","-","-","",""
"BAX","BAX","-","-","",""
"BAYANAT","BAYANAT","-","-","",""
"BAYN","BAYN","-","-","",""
"B","B","-","-","",""
"BBAI","BBAI","-","-","",""
"BB","BB","-","-","",""
"BBCA","BBCA","-","-","",""
"BBCP","BBCP","-","-","",""
"BBD","BBD","-","-","",""
"BBH","BBH","-","-","",""
"BBNAU","BBNAU","-","-","",""
"BBOX","BBOX","-","-","",""
"BBVAES","BBVAES","-","-","",""
"BBWI","BBWI","-","-","",""
"BBY","BBY","-","-","",""
"BC","BC","-","-","",""
"BCC","BCC","-","-","",""
"BCECA","BCECA","-","-","",""
"BCHBTC","BCHBTC","-","-","",""
"BCHUSD","BCHUSD","-","-","",""
"BCIAU","BCIAU","-","-","",""
"BCM","BCM","-","-","",""
"BDC","BDC","-","-","",""
"BDSX","BDSX","-","-","",""
"BDX","BDX","-","-","",""
"BDXNUSD","BDXNUSD","-","-","",""
"BEAMUSD","BEAMUSD","-","-","",""
"BE","BE","-","-","",""
"BEEM","BEEM","-","-","",""
"BEG","BEG","-","-","",""
"BEI","BEI","-","-","",""
